127.0.0.1 - - [11/Jun/2017:00:50:57 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:50:59 +0900] "GET /mysns/login.html HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:50:59 +0900] "GET /mysns/mobile.css HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:50:59 +0900] "GET /mysns/css/style.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:50:59 +0900] "GET /mysns/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:50:59 +0900] "GET /mysns/js/core.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:51:33 +0900] "GET /mysns/css/style.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Jun/2017:00:51:33 +0900] "GET /mysns/mobile.css HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/index.html HTTP/1.1" 200 53429
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/mobile.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/css/style.css HTTP/1.1" 200 4897
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/images/home.png HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/images/logo.png HTTP/1.1" 200 23213
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:14 +0900] "GET /anywhrerego/images/map1.png HTTP/1.1" 200 20829
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:18 +0900] "GET /anywhrerego/login.html HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:18 +0900] "GET /anywhrerego/mobile.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:18 +0900] "GET /anywhrerego/js/jquery-1.12.0.min.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:18 +0900] "GET /anywhrerego/js/core.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:45 +0900] "GET /anywhrerego/signup.html HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:55 +0900] "GET /anywhrerego/mobile.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [11/Jun/2017:01:23:59 +0900] "GET /anywhrerego/singup.html HTTP/1.1" 200 2301
